fid,InputID,MEAN,STDDEV,MIN,MAX
"1","216",17467.6118525213,3315.75549006777,10993.7665866523,19808.714721149
"2","389",21647.7560743322,9156.71180080112,5642.76283476728,32855.2531940328
"3","390",23930.6526501878,9771.51547414383,5642.76283476738,33528.9211409739
"4","613",27747.0820027702,12459.2838169947,10973.0817699341,43916.1607193874
"5","644",27449.8492283416,8705.89090203125,15794.8680197262,41077.551257864
"6","796",30289.3571508461,9439.83343959645,14184.0791236563,42500.9596703813
"7","934",22261.8090953103,8940.16220802646,8255.25253025094,33195.2458877813
"8","1300",20961.8827466131,8086.96820133088,8994.04969688643,32297.3915722236
"9","2483",20444.0397866281,4832.0189490947,15680.2608681867,28318.6561098065
"10","2947",18502.6394300359,4924.84747516884,10993.7665866523,25418.8160177479
"11","3028",25466.6817535154,6381.6742702208,18840.1901190312,36579.1274552611
"12","3031",18658.8578816566,3310.38632138175,15357.3451940908,24134.6344882606
"13","3098",18296.6483645947,5491.97390911375,12246.7496047801,28569.1943470291
"14","3215",28598.5285128179,8495.08804911319,15680.2608681867,41906.0906674367
"15","3499",20134.2978712203,2457.41529456626,15568.063745782,22586.9181114558
"16","4127",19753.6629097061,7073.45445600737,12002.2171646687,28569.1943470287
"17","4313",18181.6558447153,4131.13190825169,13698.11088074,25771.0640154061
"18","4368",18459.255593524,6177.33957434113,8255.25253025114,25771.064015406
"19","4400",19803.8911266173,6442.94428400802,13809.6535620298,32297.3915722234
"20","4488",18849.2336018126,6230.96704186318,8994.04969688664,26442.3030879796
"21","4692",23147.0957102995,7563.17090080834,14070.7872105594,31253.6392486006
"22","5347",25496.3550528805,9066.19517906228,10973.081769934,36579.1274552611
"23","5360",19450.7853345611,4782.60582210972,13698.1108807401,24387.022285671
"24","5468",18859.155813322,5048.03925705017,12174.1057297097,25418.8160177476
"25","5480",21884.6159246101,8186.42845423523,12164.6262451282,31778.6817799487
"26","5619",18221.5139038778,5524.25894048974,9950.10173050678,27115.9639561821
"27","5699",24286.3124991159,4594.16671278007,16870.1502753287,30564.4006457274
"28","6264",24746.2228025543,6438.37993159285,16870.1502753285,33270.5423529053
"29","6276",23977.3113664712,10968.2303834759,12164.6262451281,42314.2215264987
"30","6313",17781.646056815,8422.48998137248,9950.10173050707,32883.1981113911
"31","7330",18421.7254366558,4737.54224379602,13973.417696769,26397.2180012156
"32","13700",24926.6273082441,8482.31231846279,12842.1534020935,35235.8181408418
"33","13713",16940.1211971782,2892.8783539894,12002.2171646682,20986.0274353035
