stations_id;altitude;total_prec_value
216;298;311.0
389;436;333.3
390;610;377.09999999999997
554;23;212.60000000000002
555;101;291.90000000000003
603;147;284.30000000000007
613;206;392.29999999999995
617;47;228.89999999999998
644;150;385.59999999999997
796;412;416.50000000000006
871;87;262.9999999999999
902;573;257.8
934;88;348.40000000000003
989;46;228.20000000000005
1024;37;259.09999999999997
1046;72;281.3
1078;37;260.70000000000005
1241;128;259.30000000000007
1246;104;343.3
1300;351;405.29999999999995
1303;150;278.2
1327;147;258.5
1590;37;279.9999999999999
1595;91;263.2
1766;48;242.89999999999995
2027;63;277.19999999999993
2110;57;173.00000000000003
2254;46;279.69999999999993
2473;76;227.5
2483;839;492.7999999999999
2497;505;257.4000000000001
2629;46;243.49999999999997
2667;92;298.80000000000007
2810;150;378.4
2947;286;287.6
2968;43;313.4
2999;55;244.00000000000006
3028;157;379.69999999999993
3031;92;370.9
3081;65;243.3
3098;387;336.8
3215;375;288.19999999999993
3321;77;204.5
3339;541;326.99999999999994
3499;292;388.0999999999999
3540;195;354.30000000000007
3591;350;260.2
3795;49;275.29999999999995
3913;43;322.79999999999995
4063;41;270.6
4127;347;355.0
4150;59;248.70000000000002
4154;345;377.5
4313;370;374.4
4368;93;345.0
4371;135;327.49999999999994
4400;171;372.8999999999999
4488;443;369.8999999999999
4692;229;325.3
4741;152;352.5
4849;64;240.4
5064;37;218.70000000000005
5347;236;367.3
5360;331;442.1999999999998
5468;418;341.9
5480;85;285.4000000000001
5513;92;268.09999999999997
5619;360;341.5999999999999
5699;312;334.8
5717;134;334.8
5733;20;270.9
6197;258;432.30000000000007
6264;457;385.0000000000001
6276;235;337.2
6313;440;386.9
6337;59;263.4
7106;105;298.09999999999997
7330;159;417.69999999999993
7344;45;216.20000000000002
7374;46;237.99999999999994
7378;101;206.8
13669;55;245.49999999999997
13670;24;254.8
13671;221;342.1
13696;60;312.99999999999994
13700;205;357.1
13713;386;401.99999999999994
15000;231;258.59999999999997
